User_ID,Gender,Age,Location,Verification,Sexual_orientation,Sexual_polarity,Looking_for,Points_Rank,Last_login,Member_since,Number_of_Comments_in_public_forum,Time_spent_chating_H:M,Number_of_advertisments_posted,Number_of_offline_meetings_attended,Profile_pictures,Risk
22458,female,48,L,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,236,1,5.11.2013,501,0:00:00,0,0,25,N
24160,male,56,K,Non_Verified,Heterosexual,Submisive,Women,60,315,10.1.2014,68,115:34:00,2,0,0,N
25379,male,35,A,Non_Verified,Heterosexual,Submisive,Women,18,6,4.3.2014,3,3:25:00,1,0,0,N
27804,female,23,B,Non_Verified,bisexual,Submisive,Nobody,29,3,24.6.2014,247,1:25:00,0,0,5,N
27813,male,35,A,Non_Verified,Heterosexual,Submisive,Nobody,0,15,24.6.2014,0,3:20:00,0,0,0,N
3030,male,36,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,564,1,14.6.2011,845,0:04:00,0,0,0,N
31596,male,39,K,Verified,Heterosexual,Dominant,Nobody_but_maybe,296,57,29.11.2014,355,20:59:00,0,0,0,N
31627,male,47,L,Non_Verified,Heterosexual,Dominant,Women,66,386,30.11.2014,166,0:00:00,0,0,0,N
31698,female,29,A,Verified,bicurious,Submisive,Nobody,404,1,3.12.2014,332,9:39:00,0,3,11,N
3377,male,50,F,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,20,212,16.8.2011,42,0:01:00,1,0,0,N
34759,male,26,C,Non_Verified,Heterosexual,Dominant,Women,0,1,20.4.2015,0,38:24:00,0,0,0,N
34980,female,31,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,725,4.5.2015,0,0:00:00,0,0,0,N
35266,male,39,M,Non_Verified,Heterosexual,Switch,Women,0,11,20.5.2015,0,0:00:00,0,0,0,N
37385,male,35,C,Verified,Heterosexual,Switch,Women,195,1,9.9.2015,168,6:32:30,2,4,3,N
37521,male,62,O,Non_Verified,Heterosexual,Switch,Women,56,1,17.9.2015,43,15:05:00,0,2,0,N
3987,male,28,L,Verified,Heterosexual,Switch,Women,226,9,17.11.2011,73,0:00:00,0,0,2,N
40412,male,24,E,Non_Verified,Heterosexual,Submisive,Nobody,0,4,27.2.2016,0,0:00:00,0,0,0,N
42646,male,22,E,Verified,Heterosexual,Switch,Women,90,1,2.7.2016,2,0:00:00,0,0,1,N
43605,female,24,H,Non_Verified,bisexual,Switch,Men_and_Women,78,3,23.8.2016,62,105:04:00,0,0,10,N
43656,male,54,L,Non_Verified,bisexual,Dominant,Women,32,3,26.8.2016,4,0:00:00,0,0,6,N
44151,male,29,G,Non_Verified,Heterosexual,Switch,Nobody,58,5,19.9.2016,36,0:00:00,2,0,3,N
45230,male,24,E,Non_Verified,Heterosexual,Switch,Women,15,1,13.11.2016,0,3:16:00,1,0,0,N
45884,female,26,J,Non_Verified,bisexual,Submisive,Nobody,83,1,20.12.2016,66,0:42:00,0,0,7,N
46195,female,28,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,124,1,5.1.2017,57,120:47:00,0,0,1,N
46629,male,24,E,Non_Verified,Heterosexual,Dominant,Nobody,0,1,25.1.2017,0,0:00:00,0,0,0,N
46681,male,42,E,Non_Verified,Heterosexual,Switch,Women,0,30,28.1.2017,0,0:31:00,0,0,0,N
46911,female,20,B,Non_Verified,Heterosexual,Submisive,Nobody,29,3,9.2.2017,17,0:19:00,0,0,1,N
47601,male,40,L,Non_Verified,Heterosexual,Switch,Women,32,16,15.3.2017,47,0:16:00,0,0,0,N
47917,male,35,B,Non_Verified,Heterosexual,Dominant,Women,0,3,29.3.2017,0,0:25:00,0,0,0,N
48294,male,24,A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,10,1,15.4.2017,8,0:00:00,0,0,2,N
6035,male,52,A,Non_Verified,Heterosexual,Submisive,Women,114,1,2.7.2012,120,6:46:00,1,0,0,N
6065,male,47,F,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,93,1,2.7.2012,78,0:26:00,0,0,16,N
6163,male,31,C,Non_Verified,Heterosexual,Dominant,Nobody,19,1,3.7.2012,7,445:42:00,0,0,0,N
6418,male,41,F,Non_Verified,Heterosexual,Submisive,Women,0,1,5.7.2012,34,4:50:00,2,0,0,N
6732,male,36,S,Non_Verified,bicurious,Submisive,Men_and_Women,3,7,9.7.2012,4,0:37:00,3,0,0,N
83,male,28,B,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,51,3,9.11.2009,96,231:18:00,0,0,0,N
8696,male,41,A,Verified,Heterosexual,Dominant,Women,451,3,8.8.2012,771,9:19:00,0,0,33,N
881,male,40,K,Non_Verified,Heterosexual,Switch,Women,0,1,2.5.2010,0,1:09:00,0,0,2,N
9479,male,31,A,Non_Verified,Homosexual,Switch,Men,268,64,25.8.2012,92,0:05:00,0,0,33,N
9550,female,49,B,Verified,bisexual,Dominant,Men_and_Women,429,89,27.8.2012,267,58:57:00,0,0,5,N
12262,male,35,A,Non_Verified,Heterosexual,Submisive,Women,0,4,17.11.2012,0,0:00:00,0,0,0,Y
12944,male,41,A,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,0,1,11.12.2012,1,0:18:00,1,0,0,Y
1353,male,49,A,Non_Verified,Heterosexual,Submisive,Nobody,15,11,9.8.2010,0,0:00:00,0,0,0,Y
13767,male,27,A,Non_Verified,bicurious,Submisive,Nobody,5,6,8.1.2013,0,5:50:00,0,0,0,Y
15172,male,52,E,Non_Verified,Heterosexual,Submisive,Nobody,0,424,10.2.2013,0,0:00:00,0,0,0,Y
17871,male,27,F,Non_Verified,Heterosexual,Submisive,Women,15,1,12.5.2013,0,0:59:00,1,0,0,Y
19635,female,45,A,Non_Verified,Heterosexual,Dominant,Nobody,25,11,14.7.2013,41,0:00:00,0,0,0,Y
21180,female,33,S,Non_Verified,bicurious,Switch,Men_and_Women,12,1306,13.9.2013,1,41:48:00,0,0,0,Y
22592,male,35,B,Non_Verified,Heterosexual,Submisive,Women,0,1255,11.11.2013,0,0:00:00,0,0,0,Y
23282,male,27,A,Non_Verified,bicurious,Submisive,Men_and_Women,28,4,11.12.2013,13,0:00:00,1,0,0,Y
23362,male,24,B,Verified,Heterosexual,Submisive,Women,512,4,14.12.2013,644,2:22:00,0,0,0,Y
2460,male,47,A,Non_Verified,Heterosexual,Submisive,Nobody,184,3,3.3.2011,222,491:51:00,0,0,4,Y
26123,male,42,F,Non_Verified,bisexual,Submisive,Nobody_but_maybe,15,1,11.4.2014,0,30:27:00,1,0,0,Y
34414,male,34,A,Non_Verified,Heterosexual,Submisive,Women,25,1,1.4.2015,0,0:00:00,0,0,5,Y
3474,male,36,M,Verified,Heterosexual,Submisive,Nobody_but_maybe,307,2,1.9.2011,187,0:00:00,0,0,0,Y
34922,male,30,B,Verified,Heterosexual,Submisive,Nobody_but_maybe,471,6,2.5.2015,294,1:44:00,0,0,19,Y
35359,male,36,A,Non_Verified,Heterosexual,Submisive,Women,48,3,24.5.2015,38,0:00:00,0,0,0,Y
39099,male,34,J,Non_Verified,Heterosexual,Switch,Women,50,1,19.12.2015,0,0:00:00,1,0,1,Y
39386,male,46,F,Non_Verified,Heterosexual,Switch,Women,55,3,3.1.2016,5,1:34:00,0,0,11,Y
42730,female,23,L,Verified,Heterosexual,Dominant,Nobody_but_maybe,318,1,7.7.2016,9,13:47:00,0,1,48,Y
43155,female,41,K,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,5,32,29.7.2016,8,0:21:00,1,0,0,Y
43606,male,28,A,Non_Verified,bicurious,Submisive,Women,68,3,23.8.2016,4,0:00:00,0,0,0,Y
43811,male,20,A,Non_Verified,bisexual,Submisive,Nobody,15,9,3.9.2016,0,0:00:00,0,0,0,Y
44987,male,37,A,Non_Verified,Heterosexual,Submisive,Women,15,3,31.10.2016,0,0:00:00,0,0,0,Y
47131,male,28,M,Non_Verified,bicurious,Submisive,Nobody,15,3,19.2.2017,0,0:00:00,0,0,0,Y
48218,male,43,H,Non_Verified,Heterosexual,Switch,Nobody,0,1,12.4.2017,0,0:00:00,0,0,0,Y
5648,male,41,K,Non_Verified,Homosexual,Submisive,Men,62,4,24.6.2012,30,0:00:00,0,0,7,Y
5675,male,36,N,Non_Verified,Heterosexual,Submisive,Women,52,1,28.6.2012,51,22:17:00,1,0,0,Y
5782,male,29,A,Non_Verified,Heterosexual,Submisive,Women,155,1,1.7.2012,209,0:46:00,0,0,0,Y
6035,male,52,A,Non_Verified,Heterosexual,Submisive,Women,114,1,2.7.2012,120,6:46:00,1,0,0,Y
6288,female,28,A,Non_Verified,bicurious,Dominant,Nobody,10,1,4.7.2012,11,0:02:00,0,0,0,Y
9383,female,34,L,Verified,Heterosexual,Switch,Nobody,1 626,3,22.8.2012,1894,676:44:00,0,2,36,Y
1,male,32,J,Administrator,None,None,Nobody,664,1,10.5.2009,1275,271:14:00,0,0,0,Y
10001,male,42,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1671,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10003,male,47,B,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10006,male,35,D,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,0,49,6.9.2012,0,0:01:00,0,0,0,unknown_risk
10007,female,28,B,Non_Verified,Heterosexual,Switch,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10009,male,56,L,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10010,male,47,B,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10011,male,36,A,Non_Verified,bisexual,Dominant,Nobody,15,1679,6.9.2012,0,0:00:00,1,0,0,unknown_risk
10012,male,37,A,Non_Verified,Heterosexual,Switch,Nobody,0,1691,6.9.2012,0,1:25:00,0,0,0,unknown_risk
10013,male,27,B,Non_Verified,bisexual,Submisive,Nobody,43,37,6.9.2012,14,0:00:00,1,0,0,unknown_risk
10014,male,25,M,Non_Verified,Heterosexual,Submisive,Nobody,15,5,6.9.2012,0,0:00:00,2,0,0,unknown_risk
10015,male,59,M,Non_Verified,Heterosexual,Dominant,Nobody,0,3,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10016,male,37,A,Non_Verified,Heterosexual,Switch,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
1002,male,32,A,Non_Verified,Heterosexual,Dominant,Nobody,0,2008,21.5.2010,0,0:00:00,0,0,0,unknown_risk
10020,male,28,A,Non_Verified,bisexual,Switch,Nobody,0,1656,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10021,male,48,N,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10022,female,25,J,Non_Verified,Heterosexual,Submisive,Nobody,3,1422,6.9.2012,3,0:00:00,0,0,0,unknown_risk
10023,male,45,E,Non_Verified,Heterosexual,Dominant,Nobody,0,352,6.9.2012,0,0:06:00,0,0,0,unknown_risk
10024,male,33,E,Non_Verified,Heterosexual,Submisive,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10025,male,57,B,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10027,male,31,B,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10028,male,34,A,Non_Verified,bicurious,Switch,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10029,male,43,A,Non_Verified,bisexual,Switch,Nobody_but_maybe,10,22,6.9.2012,10,68:13:00,0,0,0,unknown_risk
10030,male,37,D,Non_Verified,Heterosexual,Dominant,Nobody,0,531,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10032,male,39,D,Non_Verified,Heterosexual,Dominant,Women,18,308,6.9.2012,4,16:01:00,1,0,0,unknown_risk
10033,male,35,G,Non_Verified,Heterosexual,Dominant,Women,0,3,6.9.2012,0,61:12:00,0,0,0,unknown_risk
10035,female,41,A,Non_Verified,Heterosexual,Switch,Nobody,0,1690,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10036,male,38,A,Non_Verified,bisexual,Dominant,Men_and_Women,30,902,6.9.2012,0,0:37:00,0,0,4,unknown_risk
10041,female,43,F,Non_Verified,bisexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10043,male,47,B,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10045,male,41,A,Non_Verified,bicurious,Submisive,Men_and_Women,0,253,6.9.2012,0,0:00:00,1,0,0,unknown_risk
10046,male,34,A,Non_Verified,Heterosexual,Switch,Women,0,8,6.9.2012,0,0:00:00,2,0,0,unknown_risk
10047,male,50,B,Non_Verified,Heterosexual,Submisive,Nobody,0,1694,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10048,female,27,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10049,male,31,A,Non_Verified,bisexual,Dominant,Women,15,71,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10053,female,26,B,Non_Verified,Heterosexual,Switch,Men,73,123,6.9.2012,96,1:56:00,0,0,0,unknown_risk
10054,male,43,L,Non_Verified,Heterosexual,Dominant,Nobody,0,1696,6.9.2012,0,0:00:00,0,0,0,unknown_risk
10055,male,33,B,Non_Verified,Heterosexual,Switch,Nobody,0,1283,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10057,female,29,A,Non_Verified,bicurious,Switch,Nobody,0,1472,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10058,male,53,L,Non_Verified,Heterosexual,Switch,Nobody,0,617,7.9.2012,0,0:02:00,0,0,0,unknown_risk
10059,female,44,C,Non_Verified,bisexual,Submisive,Nobody,0,1396,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10061,male,42,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10062,female,28,B,Non_Verified,bicurious,Switch,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10064,male,37,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10065,male,38,H,Non_Verified,Heterosexual,Switch,Nobody,0,1695,7.9.2012,0,1:54:00,0,0,0,unknown_risk
10066,male,28,A,Non_Verified,bicurious,Submisive,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10067,male,42,M,Non_Verified,Heterosexual,Switch,Women,0,1059,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10068,male,36,A,Non_Verified,Heterosexual,Switch,Nobody,0,1194,7.9.2012,0,0:35:00,0,0,0,unknown_risk
10069,male,37,A,Non_Verified,Heterosexual,Switch,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10075,male,28,E,Non_Verified,bisexual,Submisive,Nobody,0,1328,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10076,male,43,F,Non_Verified,Heterosexual,Submisive,Nobody,0,1695,7.9.2012,0,0:00:00,1,0,0,unknown_risk
10077,female,30,A,Non_Verified,Heterosexual,Submisive,Men,0,1678,7.9.2012,0,4:23:00,0,0,0,unknown_risk
10078,male,43,K,Non_Verified,Heterosexual,Switch,Nobody,0,1341,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10079,male,28,A,Non_Verified,bicurious,Switch,Nobody_but_maybe,15,12,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10080,female,26,A,Non_Verified,Heterosexual,Switch,Nobody,0,1695,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10081,female,25,A,Verified,Heterosexual,Submisive,Nobody_but_maybe,115,17,7.9.2012,0,87:55:00,0,0,0,unknown_risk
10083,male,41,M,Non_Verified,Heterosexual,Dominant,Nobody,0,770,7.9.2012,0,0:00:00,0,0,0,unknown_risk
10085,male,43,K,Non_Verified,Heterosexual,Dominant,Nobody,0,1694,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10087,female,36,F,Non_Verified,Heterosexual,Submisive,Men,21,1085,8.9.2012,6,6:54:00,0,0,0,unknown_risk
10089,male,46,F,Non_Verified,Heterosexual,Switch,Nobody,0,1694,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10090,male,33,A,Non_Verified,Homosexual,Submisive,Nobody,0,1683,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10091,male,39,A,Non_Verified,Heterosexual,Switch,Nobody,0,1680,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10092,female,30,A,Non_Verified,bisexual,Switch,Nobody,81,112,8.9.2012,29,0:18:00,0,2,2,unknown_risk
10095,male,34,A,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,0,1,8.9.2012,0,5:24:00,0,0,0,unknown_risk
10096,male,33,K,Non_Verified,Heterosexual,Dominant,Nobody,15,368,8.9.2012,0,0:07:00,0,0,0,unknown_risk
10099,male,52,A,Non_Verified,Heterosexual,Dominant,Nobody,0,47,8.9.2012,0,0:01:00,0,0,0,unknown_risk
101,male,36,B,Non_Verified,Heterosexual,Dominant,Women,0,1479,11.11.2009,0,0:00:00,0,0,0,unknown_risk
10102,male,39,F,Non_Verified,bisexual,Switch,Nobody,0,1694,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10105,male,34,A,Non_Verified,bicurious,Submisive,Men_and_Women,15,1689,8.9.2012,0,0:00:00,1,0,0,unknown_risk
10106,female,28,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1253,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10107,male,37,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1592,8.9.2012,0,0:05:00,0,0,0,unknown_risk
10109,male,44,B,Non_Verified,Heterosexual,Submisive,Nobody,0,1694,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10110,female,25,A,Non_Verified,bisexual,Switch,Nobody,34,353,8.9.2012,4,445:00:00,0,0,0,unknown_risk
10111,male,29,A,Non_Verified,Heterosexual,Submisive,Nobody,0,80,8.9.2012,0,0:00:00,0,0,0,unknown_risk
10113,female,26,L,Non_Verified,bisexual,Switch,Nobody,50,1606,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10114,male,59,A,Non_Verified,Homosexual,Dominant,Nobody,0,220,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10115,female,48,A,Non_Verified,Heterosexual,Submisive,Nobody,15,184,9.9.2012,0,0:01:00,0,0,0,unknown_risk
10117,female,49,B,Non_Verified,bicurious,Submisive,Nobody,15,1343,9.9.2012,0,0:39:00,0,0,0,unknown_risk
10118,male,40,J,Non_Verified,bisexual,Switch,Nobody,0,1622,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10119,male,41,L,Non_Verified,bicurious,Submisive,Nobody,15,49,9.9.2012,0,0:00:00,1,0,0,unknown_risk
10120,male,35,G,Non_Verified,Heterosexual,Submisive,Nobody,0,1693,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10122,male,38,A,Non_Verified,Heterosexual,Dominant,Nobody,50,1216,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10123,male,28,A,Non_Verified,Heterosexual,Switch,Nobody,0,1691,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10124,male,44,S,Non_Verified,bicurious,Switch,Women,20,146,9.9.2012,0,0:09:00,0,0,1,unknown_risk
10127,male,25,L,Non_Verified,Heterosexual,Submisive,Nobody,15,9,9.9.2012,0,7:13:00,0,0,0,unknown_risk
10129,male,34,G,Non_Verified,Heterosexual,Dominant,Women,0,1693,9.9.2012,0,0:00:00,0,0,0,unknown_risk
1013,female,46,A,Non_Verified,bisexual,Dominant,Nobody,15,1722,22.5.2010,0,0:00:00,0,0,0,unknown_risk
10130,male,34,A,Non_Verified,Heterosexual,Submisive,Women,0,1085,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10132,male,33,B,Non_Verified,Heterosexual,Submisive,Nobody,0,1693,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10133,male,31,S,Non_Verified,Heterosexual,Dominant,Women,0,1693,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10134,male,37,G,Non_Verified,bisexual,Submisive,Nobody,0,157,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10135,male,42,C,Non_Verified,Heterosexual,Dominant,Nobody,0,1156,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10137,male,47,L,Non_Verified,Heterosexual,Submisive,Women,64,1,9.9.2012,5,1:02:00,0,0,19,unknown_risk
10138,male,60,A,Non_Verified,bisexual,Dominant,Nobody,0,1693,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10139,female,25,H,Non_Verified,Heterosexual,Submisive,Nobody,15,799,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10140,male,55,J,Non_Verified,bisexual,Submisive,Nobody,15,1546,9.9.2012,0,0:03:00,0,0,0,unknown_risk
10141,female,35,A,Non_Verified,bisexual,Switch,Nobody,0,1682,9.9.2012,0,0:00:00,0,0,0,unknown_risk
10143,male,27,K,Non_Verified,bicurious,Dominant,Nobody,0,1571,9.9.2012,0,0:29:00,1,0,0,unknown_risk
10144,male,29,A,Non_Verified,Heterosexual,Submisive,Nobody,15,20,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10145,male,40,A,Non_Verified,bicurious,Submisive,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10147,male,39,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1258,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10149,male,30,L,Non_Verified,bicurious,Switch,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10150,male,44,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1686,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10151,male,41,A,Non_Verified,bicurious,Submisive,Nobody,0,1596,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10154,female,39,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1030,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10155,female,27,S,Non_Verified,bisexual,Submisive,Men_and_Women,5,1256,10.9.2012,0,0:02:00,0,0,1,unknown_risk
10157,male,43,G,Non_Verified,bisexual,Submisive,Nobody,0,1276,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10158,male,46,A,Verified,Heterosexual,Switch,Women,100,91,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10162,male,42,B,Non_Verified,bisexual,Switch,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10163,female,44,J,Non_Verified,Heterosexual,Submisive,Nobody,0,1185,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10164,female,29,A,Non_Verified,Heterosexual,Submisive,Nobody,30,1468,10.9.2012,6,16:01:00,0,0,2,unknown_risk
10165,male,56,J,Non_Verified,Heterosexual,Dominant,Women,30,534,10.9.2012,0,0:12:00,1,0,0,unknown_risk
10166,male,29,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10167,male,27,A,Non_Verified,Heterosexual,Dominant,Nobody_but_maybe,85,26,10.9.2012,26,0:15:00,0,0,1,unknown_risk
10168,female,35,M,Non_Verified,Heterosexual,Submisive,Nobody,0,6,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10170,male,35,F,Non_Verified,Heterosexual,Submisive,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10171,male,23,B,Non_Verified,Heterosexual,Switch,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10172,male,35,G,Verified,Heterosexual,Submisive,Nobody_but_maybe,165,45,10.9.2012,0,0:34:00,1,0,0,unknown_risk
10173,male,50,B,Non_Verified,Heterosexual,Switch,Nobody_but_maybe,0,138,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10174,male,23,B,Non_Verified,Heterosexual,Switch,Women,0,4,10.9.2012,74,0:11:00,1,0,0,unknown_risk
10177,male,27,N,Non_Verified,bicurious,Submisive,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10178,female,39,H,Non_Verified,bisexual,Dominant,Nobody,0,1671,10.9.2012,0,0:00:00,1,0,0,unknown_risk
10179,female,44,B,Non_Verified,Heterosexual,Submisive,Nobody_but_maybe,17,1,10.9.2012,5,21:31:00,0,0,0,unknown_risk
10181,male,26,A,Non_Verified,Heterosexual,Submisive,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10183,male,37,A,Non_Verified,Heterosexual,Dominant,Nobody,0,1692,10.9.2012,0,0:00:00,0,0,0,unknown_risk
10184,male,37,A,Non_Verified,bisexual,Switch,Nobody,0,23,10.9.2012,0,3:49:00,0,0,0,unknown_risk
10186,male,46,A,Non_Verified,Heterosexual,Dominant,Nobody,15,1535,10.9.2012,0,4:20:00,0,0,0,unknown_risk
10189,male,31,C,Non_Verified,Heterosexual,Dominant,Women,15,5,10.9.2012,0,104:12:00,0,0,0,unknown_risk
10190,male,28,A,Non_Verified,Heterosexual,Dominant,Nobody,15,608,10.9.2012,0,7:07:00,0,0,0,unknown_risk
